season,tmax_c_complete,tmin_c_complete,precip_mm_complete,precip_total_mm,tmax_mean_c,tmin_mean_c,complete,neighbours_checked,neighbour_flags,included,reason
2018,1.0,1.0,1.0,1120.5,21.13,9.56,True,0,,True,
2019,1.0,1.0,0.996,823.8,20.87,9.15,True,0,,True,
2020,1.0,1.0,1.0,500.7,21.56,9.49,True,0,,True,
2021,1.0,1.0,1.0,636.3,23.01,10.64,True,0,,True,
2022,1.0,1.0,1.0,791.8,21.97,9.69,True,0,,True,
2023,1.0,1.0,1.0,584.0,23.08,10.38,True,0,,True,
