validation,stage,stage_order,stage_label,ranker,method,budget,recall,recall_unit_mean,precision,random_recall,oracle_recall,lift,skill,n_units,n_poor,n_selected,hits
site,tp2,2,+ TP1-TP2,records_only,relative_forecast,0.2000,0.2772,0.2925,0.3466,0.2004,0.7996,1.3832,0.1281,5,534,427,148
site,tp2,2,+ TP1-TP2,records_only,relative_forecast,0.2500,0.3408,0.3574,0.3415,0.2501,0.9981,1.3627,0.1213,5,534,533,182
site,tp2,2,+ TP1-TP2,naive_imagery,naive_imagery,0.1000,0.1948,0.1978,0.4883,0.1000,0.3989,1.9485,0.3171,5,534,213,104
site,tp2,2,+ TP1-TP2,naive_imagery,naive_imagery,0.2000,0.3277,0.3325,0.4098,0.2004,0.7996,1.6355,0.2125,5,534,427,175
site,tp2,2,+ TP1-TP2,naive_imagery,naive_imagery,0.2500,0.3914,0.3908,0.3921,0.2501,0.9981,1.5648,0.1889,5,534,533,209
site,tp3,3,+ TP1-TP3,forecast,forecast,0.1000,0.1873,0.2089,0.4695,0.1000,0.3989,1.8735,0.2921,5,534,213,100
site,tp3,3,+ TP1-TP3,forecast,forecast,0.2000,0.2940,0.3277,0.3677,0.2004,0.7996,1.4673,0.1562,5,534,427,157
site,tp3,3,+ TP1-TP3,forecast,forecast,0.2500,0.3390,0.3798,0.3396,0.2501,0.9981,1.3552,0.1188,5,534,533,181
site,tp3,3,+ TP1-TP3,lower_bound,lower_bound,0.1000,0.2097,0.2280,0.5258,0.1000,0.3989,2.0984,0.3673,5,534,213,112
site,tp3,3,+ TP1-TP3,lower_bound,lower_bound,0.2000,0.3427,0.3762,0.4286,0.2004,0.7996,1.7103,0.2375,5,534,427,183
site,tp3,3,+ TP1-TP3,lower_bound,lower_bound,0.2500,0.3970,0.4331,0.3977,0.2501,0.9981,1.5873,0.1964,5,534,533,212
site,tp3,3,+ TP1-TP3,relative_forecast,relative_forecast,0.1000,0.1667,0.1841,0.4178,0.1000,0.3989,1.6674,0.2232,5,534,213,89
site,tp3,3,+ TP1-TP3,relative_forecast,relative_forecast,0.2000,0.2753,0.3045,0.3443,0.2004,0.7996,1.3738,0.1250,5,534,427,147
site,tp3,3,+ TP1-TP3,relative_forecast,relative_forecast,0.2500,0.3202,0.3599,0.3208,0.2501,0.9981,1.2803,0.0937,5,534,533,171
site,tp3,3,+ TP1-TP3,records_only,relative_forecast,0.1000,0.1536,0.1562,0.3850,0.1000,0.3989,1.5363,0.1793,5,534,213,82
site,tp3,3,+ TP1-TP3,records_only,relative_forecast,0.2000,0.2772,0.2925,0.3466,0.2004,0.7996,1.3832,0.1281,5,534,427,148
site,tp3,3,+ TP1-TP3,records_only,relative_forecast,0.2500,0.3408,0.3574,0.3415,0.2501,0.9981,1.3627,0.1213,5,534,533,182
site,tp3,3,+ TP1-TP3,naive_imagery,naive_imagery,0.1000,0.1891,0.2074,0.4742,0.1000,0.3989,1.8923,0.2984,5,534,213,101
site,tp3,3,+ TP1-TP3,naive_imagery,naive_imagery,0.2000,0.3165,0.3539,0.3958,0.2004,0.7996,1.5794,0.1937,5,534,427,169
site,tp3,3,+ TP1-TP3,naive_imagery,naive_imagery,0.2500,0.3577,0.3996,0.3583,0.2501,0.9981,1.4300,0.1438,5,534,533,191
site,tp4,4,+ TP1-TP4,forecast,forecast,0.1000,0.1704,0.1873,0.4272,0.1000,0.3989,1.7049,0.2357,5,534,213,91
site,tp4,4,+ TP1-TP4,forecast,forecast,0.2000,0.2809,0.3096,0.3513,0.2004,0.7996,1.4019,0.1344,5,534,427,150
site,tp4,4,+ TP1-TP4,forecast,forecast,0.2500,0.3296,0.3584,0.3302,0.2501,0.9981,1.3177,0.1062,5,534,533,176
site,tp4,4,+ TP1-TP4,lower_bound,lower_bound,0.1000,0.1966,0.1905,0.4930,0.1000,0.3989,1.9672,0.3234,5,534,213,105
site,tp4,4,+ TP1-TP4,lower_bound,lower_bound,0.2000,0.2978,0.2978,0.3724,0.2004,0.7996,1.4860,0.1625,5,534,427,159
site,tp4,4,+ TP1-TP4,lower_bound,lower_bound,0.2500,0.3689,0.3660,0.3696,0.2501,0.9981,1.4750,0.1588,5,534,533,197
site,tp4,4,+ TP1-TP4,relative_forecast,relative_forecast,0.1000,0.1648,0.1793,0.4131,0.1000,0.3989,1.6487,0.2169,5,534,213,88
site,tp4,4,+ TP1-TP4,relative_forecast,relative_forecast,0.2000,0.2678,0.2916,0.3349,0.2004,0.7996,1.3364,0.1125,5,534,427,143
site,tp4,4,+ TP1-TP4,relative_forecast,relative_forecast,0.2500,0.3221,0.3518,0.3227,0.2501,0.9981,1.2878,0.0962,5,534,533,172
site,tp4,4,+ TP1-TP4,records_only,relative_forecast,0.1000,0.1536,0.1562,0.3850,0.1000,0.3989,1.5363,0.1793,5,534,213,82
site,tp4,4,+ TP1-TP4,records_only,relative_forecast,0.2000,0.2772,0.2925,0.3466,0.2004,0.7996,1.3832,0.1281,5,534,427,148
site,tp4,4,+ TP1-TP4,records_only,relative_forecast,0.2500,0.3408,0.3574,0.3415,0.2501,0.9981,1.3627,0.1213,5,534,533,182
site,tp4,4,+ TP1-TP4,naive_imagery,naive_imagery,0.1000,0.1442,0.1616,0.3615,0.1000,0.3989,1.4426,0.1480,5,534,213,77
site,tp4,4,+ TP1-TP4,naive_imagery,naive_imagery,0.2000,0.2603,0.2789,0.3255,0.2004,0.7996,1.2991,0.1000,5,534,427,139
