dataset,synthetic,validation,stage,stage_order,stage_label,uses_imagery,model,mae,rmse,r2,bias,relative_mae,n,spearman_within,spearman_pooled,fold_mae_mean,fold_mae_sd,n_folds,coverage,interval_width,coverage_min_group,interval_calibration,seconds,group_mae,delta_mae_vs_mean,timing_passes_mean,delta_mae_vs_records,pct_mae_reduction_vs_records,delta_mae_vs_best_records,best_records_model,cqr_coverage,cqr_width,delta_mae_ci_low,delta_mae_ci_high,group_wins,n_groups,timing_share_with_imagery,timing_acq_date_min,timing_acq_date_median,timing_acq_date_max,timing_dap_min,timing_dap_median,timing_dap_max,timing_lead_days_median,timing_lead_days_min,timing_harvest_basis
practice_5sites,False,site,records,0,Baseline A: training mean,False,mean,55.1042,66.9122,-0.4980,0.7416,0.4520,2131,,-0.7198,52.1590,28.4509,5,0.7508,196.9357,0.0516,site,0.0600,"{""Ames-2022"": 26.9748, ""Crawfordsville-2022"": 56.4593, ""Lincoln-2022"": 105.6601, ""MOValley-2022"": 35.5097, ""Scottsbluff-2022"": 36.1909}",0.0000,0.0000,,,,,,,,,,,,,,,,,,,,
practice_5sites,False,site,records,0,Records only,False,ridge,68.3473,76.1478,-0.9401,-6.4400,0.5607,2131,0.3026,-0.1456,71.6201,21.9943,5,0.7874,761.5792,0.3254,site,0.5100,"{""Ames-2022"": 73.2185, ""Crawfordsville-2022"": 49.5389, ""Lincoln-2022"": 97.1416, ""MOValley-2022"": 94.2462, ""Scottsbluff-2022"": 43.9554}",-13.2431,0.0000,0.0000,0.0000,0.0000,ridge,,,,,,,,,,,,,,,,
practice_5sites,False,site,records,0,Records only,False,random_forest,79.2201,87.5389,-1.5640,-33.3540,0.6499,2131,0.2145,-0.1859,71.8675,25.8089,5,0.7621,233.7809,0.1706,site,12.5300,"{""Ames-2022"": 91.3258, ""Crawfordsville-2022"": 63.8606, ""Lincoln-2022"": 89.2814, ""MOValley-2022"": 24.5114, ""Scottsbluff-2022"": 90.3585}",-24.1160,0.0000,0.0000,0.0000,-10.8729,ridge,,,,,,,,,,,,,,,,
practice_5sites,False,site,records,0,Records only,False,hist_gradient_boosting,70.4076,82.3648,-1.2698,-24.3468,0.5776,2131,0.2373,0.0481,64.3544,30.1205,5,0.7879,239.4386,0.2718,site,11.6300,"{""Ames-2022"": 89.7909, ""Crawfordsville-2022"": 29.2495, ""Lincoln-2022"": 86.939, ""MOValley-2022"": 25.7764, ""Scottsbluff-2022"": 90.0163}",-15.3035,0.0000,0.0000,0.0000,-2.0604,ridge,,,,,,,,,,,,,,,,
practice_5sites,False,site,records,0,Records only,False,catboost,70.8827,81.9563,-1.2474,-24.1064,0.5815,2131,0.2096,0.0098,64.8462,29.6488,5,0.7677,233.2868,0.1647,site,6.3600,"{""Ames-2022"": 89.7177, ""Crawfordsville-2022"": 30.6856, ""Lincoln-2022"": 89.4834, ""MOValley-2022"": 26.4726, ""Scottsbluff-2022"": 87.8718}",-15.7785,0.0000,0.0000,0.0000,-2.5354,ridge,0.7602,232.6284,,,,,,,,,,,,,,
practice_5sites,False,site,tp1,1,+ TP1,True,ridge,79.6688,101.4905,-2.4463,-68.0760,0.6535,2131,0.3079,0.6472,87.9690,57.9900,5,0.8250,577.4714,0.2357,site,0.5900,"{""Ames-2022"": 24.2013, ""Crawfordsville-2022"": 20.2007, ""Lincoln-2022"": 93.0378, ""MOValley-2022"": 143.058, ""Scottsbluff-2022"": 159.3472}",-24.5646,1.0000,-11.3216,-16.5648,-11.3216,ridge,,,-12.7243,-9.8859,3.0000,5.0000,1.0000,2022-07-04,2022-07-13,2022-07-18,46.0000,57.0000,75.0000,94.0000,89.0000,assumed 10-15 each season
practice_5sites,False,site,tp1,1,+ TP1,True,random_forest,69.9926,83.2814,-1.3206,-27.4249,0.5742,2131,0.2539,0.1018,62.9944,37.9998,5,0.6588,219.9650,0.0833,site,18.2400,"{""Ames-2022"": 82.4033, ""Crawfordsville-2022"": 18.2506, ""Lincoln-2022"": 84.2094, ""MOValley-2022"": 18.2428, ""Scottsbluff-2022"": 111.8657}",-14.8884,1.0000,9.2276,11.6480,-1.6453,ridge,,,8.3911,10.0973,4.0000,5.0000,1.0000,2022-07-04,2022-07-13,2022-07-18,46.0000,57.0000,75.0000,94.0000,89.0000,assumed 10-15 each season
practice_5sites,False,site,tp1,1,+ TP1,True,hist_gradient_boosting,71.3684,84.7133,-1.4011,-28.2879,0.5855,2131,0.2650,0.0625,64.1006,37.9366,5,0.6523,227.2110,0.1032,site,20.0600,"{""Ames-2022"": 81.1134, ""Crawfordsville-2022"": 22.4787, ""Lincoln-2022"": 84.2831, ""MOValley-2022"": 17.5441, ""Scottsbluff-2022"": 115.0836}",-16.2642,1.0000,-0.9608,-1.3646,-3.0211,ridge,,,-1.7428,-0.1480,4.0000,5.0000,1.0000,2022-07-04,2022-07-13,2022-07-18,46.0000,57.0000,75.0000,94.0000,89.0000,assumed 10-15 each season
practice_5sites,False,site,tp1,1,+ TP1,True,catboost,67.8238,79.6868,-1.1246,-25.8922,0.5564,2131,0.2945,0.0999,61.0566,34.0094,5,0.6739,214.5502,0.0992,site,31.0900,"{""Ames-2022"": 80.2385, ""Crawfordsville-2022"": 23.2558, ""Lincoln-2022"": 82.037, ""MOValley-2022"": 17.7844, ""Scottsbluff-2022"": 101.9674}",-12.7196,1.0000,3.0589,4.3154,0.5235,ridge,0.7095,231.4674,2.2744,3.8524,4.0000,5.0000,1.0000,2022-07-04,2022-07-13,2022-07-18,46.0000,57.0000,75.0000,94.0000,89.0000,assumed 10-15 each season
practice_5sites,False,site,tp2,2,+ TP1-TP2,True,ridge,202.3427,277.5527,-24.7750,-105.6874,1.6599,2131,0.2794,-0.5564,182.3091,182.1172,5,0.5340,779.5418,0.0000,site,0.6600,"{""Ames-2022"": 30.9273, ""Crawfordsville-2022"": 118.7234, ""Lincoln-2022"": 178.091, ""MOValley-2022"": 52.2827, ""Scottsbluff-2022"": 531.5212}",-147.2386,2.0000,-133.9955,-196.0510,-133.9955,ridge,,,-135.4194,-132.5689,2.0000,5.0000,1.0000,2022-07-17,2022-07-21,2022-08-06,59.0000,70.0000,83.0000,86.0000,70.0000,assumed 10-15 each season
practice_5sites,False,site,tp2,2,+ TP1-TP2,True,random_forest,54.8078,70.8849,-0.6812,-21.9052,0.4496,2131,0.1860,0.3103,51.3870,36.0654,5,0.6190,191.2420,0.0450,site,21.6300,"{""Ames-2022"": 29.0241, ""Crawfordsville-2022"": 19.6092, ""Lincoln-2022"": 60.6145, ""MOValley-2022"": 29.6855, ""Scottsbluff-2022"": 118.0018}",0.2964,2.0000,24.4124,30.8158,13.5395,ridge,,,23.4144,25.4168,3.0000,5.0000,1.0000,2022-07-17,2022-07-21,2022-08-06,59.0000,70.0000,83.0000,86.0000,70.0000,assumed 10-15 each season
practice_5sites,False,site,tp2,2,+ TP1-TP2,True,hist_gradient_boosting,63.6137,75.9702,-0.9311,-26.0827,0.5218,2131,0.2663,0.0828,59.0616,31.4198,5,0.5978,199.9334,0.0716,site,21.8600,"{""Ames-2022"": 60.3057, ""Crawfordsville-2022"": 21.708, ""Lincoln-2022"": 74.4714, ""MOValley-2022"": 30.1209, ""Scottsbluff-2022"": 108.7019}",-8.5096,2.0000,6.7939,9.6494,4.7335,ridge,,,5.8756,7.7195,3.0000,5.0000,1.0000,2022-07-17,2022-07-21,2022-08-06,59.0000,70.0000,83.0000,86.0000,70.0000,assumed 10-15 each season
practice_5sites,False,site,tp2,2,+ TP1-TP2,True,catboost,48.4442,58.2903,-0.1368,-5.8549,0.3974,2131,0.2420,0.1508,45.0611,21.7629,5,0.6631,181.0439,0.0813,site,36.4200,"{""Ames-2022"": 27.8691, ""Crawfordsville-2022"": 31.4876, ""Lincoln-2022"": 79.7333, ""MOValley-2022"": 24.6886, ""Scottsbluff-2022"": 61.5267}",6.6600,2.0000,22.4385,31.6558,19.9031,ridge,0.6621,190.0402,21.3382,23.4901,4.0000,5.0000,1.0000,2022-07-17,2022-07-21,2022-08-06,59.0000,70.0000,83.0000,86.0000,70.0000,assumed 10-15 each season
practice_5sites,False,site,tp3,3,+ TP1-TP3,True,ridge,80.8059,101.3226,-2.4350,-57.6558,0.6629,2131,0.1863,0.3879,72.9324,53.1499,5,0.9995,689.9094,0.9979,site,0.8400,"{""Ames-2022"": 36.6929, ""Crawfordsville-2022"": 100.9799, ""Lincoln-2022"": 164.912, ""MOValley-2022"": 25.8336, ""Scottsbluff-2022"": 36.2437}",-25.7017,3.0000,-12.4586,-18.2284,-12.4586,ridge,,,-14.3455,-10.7095,3.0000,5.0000,1.0000,2022-08-02,2022-08-08,2022-09-03,79.0000,83.0000,104.0000,68.0000,42.0000,assumed 10-15 each season
practice_5sites,False,site,tp3,3,+ TP1-TP3,True,random_forest,46.3205,56.2752,-0.0596,-10.3977,0.3800,2131,0.1235,0.1790,46.8890,15.1798,5,0.7311,182.8493,0.3016,site,21.2400,"{""Ames-2022"": 34.8919, ""Crawfordsville-2022"": 25.5246, ""Lincoln-2022"": 68.9504, ""MOValley-2022"": 51.7597, ""Scottsbluff-2022"": 53.3184}",8.7837,3.0000,32.8997,41.5294,22.0268,ridge,,,31.8229,33.9691,4.0000,5.0000,1.0000,2022-08-02,2022-08-08,2022-09-03,79.0000,83.0000,104.0000,68.0000,42.0000,assumed 10-15 each season
practice_5sites,False,site,tp3,3,+ TP1-TP3,True,hist_gradient_boosting,56.8493,68.0839,-0.5509,-16.9110,0.4664,2131,0.1752,0.1469,55.1751,19.8335,5,0.7062,193.1238,0.2202,site,21.3500,"{""Ames-2022"": 73.2435, ""Crawfordsville-2022"": 23.8291, ""Lincoln-2022"": 78.8417, ""MOValley-2022"": 45.3053, ""Scottsbluff-2022"": 54.6557}",-1.7451,3.0000,13.5584,19.2569,11.4980,ridge,,,12.4588,14.6684,4.0000,5.0000,1.0000,2022-08-02,2022-08-08,2022-09-03,79.0000,83.0000,104.0000,68.0000,42.0000,assumed 10-15 each season
practice_5sites,False,site,tp3,3,+ TP1-TP3,True,catboost,46.7702,57.9058,-0.1219,-4.1233,0.3837,2131,0.2217,0.1917,44.9561,21.8727,5,0.7166,189.8104,0.2242,site,35.8400,"{""Ames-2022"": 23.5964, ""Crawfordsville-2022"": 25.9636, ""Lincoln-2022"": 80.2614, ""MOValley-2022"": 34.9114, ""Scottsbluff-2022"": 60.0477}",8.3340,3.0000,24.1125,34.0174,21.5771,ridge,0.7213,180.8663,23.0965,25.1219,4.0000,5.0000,1.0000,2022-08-02,2022-08-08,2022-09-03,79.0000,83.0000,104.0000,68.0000,42.0000,assumed 10-15 each season
practice_5sites,False,site,tp4,4,+ TP1-TP4,True,ridge,192.3926,249.5580,-19.8377,81.1479,1.5783,2131,0.0470,-0.4480,201.1565,145.8677,5,0.7574,726.4043,0.0000,site,0.7200,"{""Ames-2022"": 51.5348, ""Crawfordsville-2022"": 82.7105, ""Lincoln-2022"": 450.9226, ""MOValley-2022"": 271.2182, ""Scottsbluff-2022"": 149.3965}",-137.2884,4.0000,-124.0453,-181.4927,-124.0453,ridge,,,-125.6960,-122.3203,1.0000,5.0000,1.0000,2022-08-18,2022-09-03,2022-09-13,91.0000,112.0000,127.0000,42.0000,32.0000,assumed 10-15 each season
practice_5sites,False,site,tp4,4,+ TP1-TP4,True,random_forest,56.5639,68.8825,-0.5875,-9.3586,0.4640,2131,0.2191,0.0002,52.3750,29.4229,5,0.7091,211.6227,0.0992,site,20.8000,"{""Ames-2022"": 39.2302, ""Crawfordsville-2022"": 21.1428, ""Lincoln-2022"": 94.898, ""MOValley-2022"": 27.1258, ""Scottsbluff-2022"": 79.4782}",-1.4597,4.0000,22.6562,28.5991,11.7833,ridge,,,21.7580,23.6254,3.0000,5.0000,1.0000,2022-08-18,2022-09-03,2022-09-13,91.0000,112.0000,127.0000,42.0000,32.0000,assumed 10-15 each season
practice_5sites,False,site,tp4,4,+ TP1-TP4,True,hist_gradient_boosting,69.9561,81.5829,-1.2269,-25.8870,0.5739,2131,0.2572,0.0560,63.2541,33.6497,5,0.7560,226.4695,0.1230,site,21.3600,"{""Ames-2022"": 94.6764, ""Crawfordsville-2022"": 23.7255, ""Lincoln-2022"": 89.5373, ""MOValley-2022"": 20.5827, ""Scottsbluff-2022"": 87.7488}",-14.8519,4.0000,0.4516,0.6414,-1.6088,ridge,,,-0.4163,1.3310,3.0000,5.0000,1.0000,2022-08-18,2022-09-03,2022-09-13,91.0000,112.0000,127.0000,42.0000,32.0000,assumed 10-15 each season
practice_5sites,False,site,tp4,4,+ TP1-TP4,True,catboost,50.9963,63.7523,-0.3599,-7.7010,0.4183,2131,0.2029,0.1311,46.0402,27.4226,5,0.6903,199.1666,0.2004,site,35.8100,"{""Ames-2022"": 38.9058, ""Crawfordsville-2022"": 19.9953, ""Lincoln-2022"": 83.7352, ""MOValley-2022"": 15.5011, ""Scottsbluff-2022"": 72.0637}",4.1079,4.0000,19.8864,28.0553,17.3509,ridge,0.7748,209.5751,19.0594,20.7039,5.0000,5.0000,1.0000,2022-08-18,2022-09-03,2022-09-13,91.0000,112.0000,127.0000,42.0000,32.0000,assumed 10-15 each season
practice_5sites,False,site,tp5,5,+ TP1-TP5,True,ridge,172.3426,220.7936,-15.3110,30.1776,1.4138,2131,0.2151,-0.4263,189.0461,132.8021,5,0.6800,754.0360,0.0000,site,0.6700,"{""Ames-2022"": 63.5148, ""Crawfordsville-2022"": 48.1406, ""Lincoln-2022"": 379.9878, ""MOValley-2022"": 308.2218, ""Scottsbluff-2022"": 145.3656}",-117.2384,5.0000,-103.9954,-152.1573,-103.9954,ridge,,,-105.1040,-102.7650,2.0000,5.0000,1.0000,2022-09-09,2022-09-11,2022-10-01,111.0000,120.0000,143.0000,34.0000,14.0000,assumed 10-15 each season
practice_5sites,False,site,tp5,5,+ TP1-TP5,True,random_forest,52.4708,63.4072,-0.3452,-5.5764,0.4304,2131,0.2603,0.0861,48.7292,24.2087,5,0.7414,197.8737,0.0417,site,21.1700,"{""Ames-2022"": 53.4435, ""Crawfordsville-2022"": 24.0092, ""Lincoln-2022"": 91.0659, ""MOValley-2022"": 26.2664, ""Scottsbluff-2022"": 48.8612}",2.6334,5.0000,26.7494,33.7659,15.8765,ridge,,,25.7834,27.7194,3.0000,5.0000,1.0000,2022-09-09,2022-09-11,2022-10-01,111.0000,120.0000,143.0000,34.0000,14.0000,assumed 10-15 each season
practice_5sites,False,site,tp5,5,+ TP1-TP5,True,hist_gradient_boosting,59.3433,72.1767,-0.7430,-9.9990,0.4868,2131,0.2796,0.1667,54.5364,31.8737,5,0.7626,218.3750,0.0417,site,21.1000,"{""Ames-2022"": 91.5813, ""Crawfordsville-2022"": 18.6493, ""Lincoln-2022"": 92.5391, ""MOValley-2022"": 24.7462, ""Scottsbluff-2022"": 45.1662}",-4.2391,5.0000,11.0644,15.7147,9.0040,ridge,,,9.9635,12.0989,3.0000,5.0000,1.0000,2022-09-09,2022-09-11,2022-10-01,111.0000,120.0000,143.0000,34.0000,14.0000,assumed 10-15 each season
practice_5sites,False,site,tp5,5,+ TP1-TP5,True,catboost,48.9775,60.5801,-0.2279,-3.5254,0.4018,2131,0.2853,0.1649,44.3747,25.0551,5,0.7161,186.6716,0.0655,site,36.0600,"{""Ames-2022"": 43.05, ""Crawfordsville-2022"": 22.583, ""Lincoln-2022"": 86.7726, ""MOValley-2022"": 16.3126, ""Scottsbluff-2022"": 53.1552}",6.1267,5.0000,21.9052,30.9034,19.3698,ridge,0.7813,216.0526,21.0159,22.7887,5.0000,5.0000,1.0000,2022-09-09,2022-09-11,2022-10-01,111.0000,120.0000,143.0000,34.0000,14.0000,assumed 10-15 each season
