dataset,synthetic,validation,stage,stage_order,stage_label,uses_imagery,model,mae,rmse,r2,bias,relative_mae,n,spearman_within,spearman_pooled,fold_mae_mean,fold_mae_sd,n_folds,coverage,interval_width,coverage_min_group,interval_calibration,seconds,group_mae,delta_mae_vs_mean,timing_passes_mean,delta_mae_vs_records,pct_mae_reduction_vs_records,delta_mae_vs_best_records,best_records_model,cqr_coverage,cqr_width,delta_mae_ci_low,delta_mae_ci_high,group_wins,n_groups,timing_share_with_imagery,timing_acq_date_min,timing_acq_date_median,timing_acq_date_max,timing_dap_min,timing_dap_median,timing_dap_max,timing_lead_days_median,timing_lead_days_min,timing_harvest_basis
practice_5sites,False,site,tp6,6,+ TP1-TP6,True,ridge,285.1891,339.5582,-37.5777,-1.7091,2.3395,2131,0.2356,-0.4274,318.8503,190.8689,5,0.6720,812.1851,0.0000,site,0.6600,"{""Ames-2022"": 115.0049, ""Crawfordsville-2022"": 92.9701, ""Lincoln-2022"": 509.283, ""MOValley-2022"": 549.5928, ""Scottsbluff-2022"": 327.4008}",-230.0849,6.0000,-216.8418,-317.2648,-216.8418,ridge,,,-218.0814,-215.5807,0.0000,5.0000,1.0000,2022-09-19,2022-09-24,2022-10-09,124.0000,128.0000,151.0000,21.0000,6.0000,assumed 10-15 each season
practice_5sites,False,site,tp6,6,+ TP1-TP6,True,random_forest,78.0008,85.4327,-1.4421,-31.8373,0.6399,2131,0.1987,-0.3971,73.7317,20.6403,5,0.7382,216.5740,0.0298,site,21.0200,"{""Ames-2022"": 91.9706, ""Crawfordsville-2022"": 84.8889, ""Lincoln-2022"": 94.215, ""MOValley-2022"": 46.6219, ""Scottsbluff-2022"": 50.9621}",-22.8966,6.0000,1.2193,1.5392,-9.6535,ridge,,,0.3063,2.1952,1.0000,5.0000,1.0000,2022-09-19,2022-09-24,2022-10-09,124.0000,128.0000,151.0000,21.0000,6.0000,assumed 10-15 each season
practice_5sites,False,site,tp6,6,+ TP1-TP6,True,hist_gradient_boosting,80.3226,88.7864,-1.6375,-36.9126,0.6589,2131,0.1937,-0.3255,75.5826,24.7584,5,0.7508,227.8667,0.0734,site,21.9600,"{""Ames-2022"": 112.1835, ""Crawfordsville-2022"": 82.3943, ""Lincoln-2022"": 87.3328, ""MOValley-2022"": 44.8931, ""Scottsbluff-2022"": 51.1091}",-25.2184,6.0000,-9.9149,-14.0822,-11.9753,ridge,,,-11.0248,-8.8304,1.0000,5.0000,1.0000,2022-09-19,2022-09-24,2022-10-09,124.0000,128.0000,151.0000,21.0000,6.0000,assumed 10-15 each season
practice_5sites,False,site,tp6,6,+ TP1-TP6,True,catboost,64.9442,72.2811,-0.7481,-23.0355,0.5328,2131,0.2035,-0.3230,62.1610,13.2883,5,0.7325,197.7364,0.0536,site,36.7600,"{""Ames-2022"": 61.4331, ""Crawfordsville-2022"": 68.2916, ""Lincoln-2022"": 83.5354, ""MOValley-2022"": 44.9373, ""Scottsbluff-2022"": 52.6078}",-9.8400,6.0000,5.9385,8.3779,3.4031,ridge,0.7682,215.9665,4.9636,6.9018,3.0000,5.0000,1.0000,2022-09-19,2022-09-24,2022-10-09,124.0000,128.0000,151.0000,21.0000,6.0000,assumed 10-15 each season
practice_5sites,False,field,records,0,Records only,False,catboost,54.8609,68.0364,-0.5488,-2.2249,0.4500,2131,0.2717,0.2992,52.9258,22.2946,5,,,,,1.4700,"{""Ames-2022"": 88.8399, ""Crawfordsville-2022"": 21.646, ""Lincoln-2022"": 89.4834, ""MOValley-2022"": 27.9934, ""Scottsbluff-2022"": 27.4391}",,0.0000,0.0000,0.0000,0.0000,catboost,,,,,,,,,,,,,,,,
practice_5sites,False,field,tp1,1,+ TP1,True,catboost,43.1505,53.7471,0.0335,9.5356,0.3540,2131,0.2802,0.4347,41.3423,21.4994,5,,,,,5.9200,"{""Ames-2022"": 45.7618, ""Crawfordsville-2022"": 19.998, ""Lincoln-2022"": 82.037, ""MOValley-2022"": 16.7088, ""Scottsbluff-2022"": 32.3896}",,1.0000,11.7104,21.3456,11.7104,catboost,,,10.9942,12.3956,4.0000,5.0000,1.0000,2022-07-04,2022-07-13,2022-07-18,46.0000,57.0000,75.0000,94.0000,89.0000,assumed 10-15 each season
practice_5sites,False,field,tp2,2,+ TP1-TP2,True,catboost,38.3196,48.6462,0.2082,15.5536,0.3143,2131,0.2484,0.5639,36.0754,22.2079,5,,,,,7.3300,"{""Ames-2022"": 29.2636, ""Crawfordsville-2022"": 18.1297, ""Lincoln-2022"": 79.7333, ""MOValley-2022"": 22.753, ""Scottsbluff-2022"": 29.992}",,2.0000,16.5413,30.1513,16.5413,catboost,,,15.5418,17.4821,4.0000,5.0000,1.0000,2022-07-17,2022-07-21,2022-08-06,59.0000,70.0000,83.0000,86.0000,70.0000,assumed 10-15 each season
practice_5sites,False,field,tp3,3,+ TP1-TP3,True,catboost,38.3777,49.8010,0.1702,14.1799,0.3148,2131,0.2277,0.5160,36.0091,22.5680,5,,,,,7.7100,"{""Ames-2022"": 26.0467, ""Crawfordsville-2022"": 17.8592, ""Lincoln-2022"": 80.2614, ""MOValley-2022"": 27.8405, ""Scottsbluff-2022"": 31.4789}",,3.0000,16.4831,30.0453,16.4831,catboost,,,15.5717,17.4012,4.0000,5.0000,1.0000,2022-08-02,2022-08-08,2022-09-03,79.0000,83.0000,104.0000,68.0000,42.0000,assumed 10-15 each season
practice_5sites,False,field,tp4,4,+ TP1-TP4,True,catboost,38.6061,50.4880,0.1471,17.6636,0.3167,2131,0.1879,0.5264,36.3636,24.0454,5,,,,,7.4300,"{""Ames-2022"": 24.8145, ""Crawfordsville-2022"": 18.6577, ""Lincoln-2022"": 83.7352, ""MOValley-2022"": 18.5807, ""Scottsbluff-2022"": 32.4106}",,4.0000,16.2548,29.6291,16.2548,catboost,,,15.3071,17.1466,4.0000,5.0000,1.0000,2022-08-18,2022-09-03,2022-09-13,91.0000,112.0000,127.0000,42.0000,32.0000,assumed 10-15 each season
practice_5sites,False,field,tp5,5,+ TP1-TP5,True,catboost,38.9377,51.0610,0.1277,18.3876,0.3194,2131,0.3357,0.5458,36.5352,25.6335,5,,,,,7.5000,"{""Ames-2022"": 27.1939, ""Crawfordsville-2022"": 17.8836, ""Lincoln-2022"": 86.7726, ""MOValley-2022"": 14.649, ""Scottsbluff-2022"": 30.4386}",,5.0000,15.9232,29.0247,15.9232,catboost,,,15.0503,16.8322,4.0000,5.0000,1.0000,2022-09-09,2022-09-11,2022-10-01,111.0000,120.0000,143.0000,34.0000,14.0000,assumed 10-15 each season
practice_5sites,False,field,tp6,6,+ TP1-TP6,True,catboost,40.6185,51.5731,0.1101,11.6756,0.3332,2131,0.3198,0.4568,37.8790,23.4905,5,,,,,7.2500,"{""Ames-2022"": 28.0035, ""Crawfordsville-2022"": 18.276, ""Lincoln-2022"": 83.5354, ""MOValley-2022"": 42.5229, ""Scottsbluff-2022"": 30.6105}",,6.0000,14.2424,25.9609,14.2424,catboost,,,13.3308,15.1104,3.0000,5.0000,1.0000,2022-09-19,2022-09-24,2022-10-09,124.0000,128.0000,151.0000,21.0000,6.0000,assumed 10-15 each season
practice_5sites,False,random,records,0,Records only,False,catboost,21.3519,27.8951,0.7396,-0.5555,0.1752,2131,0.4883,0.8179,21.3522,0.8063,5,,,,,1.4800,"{""Ames-2022"": 27.2766, ""Crawfordsville-2022"": 15.5356, ""Lincoln-2022"": 22.656, ""MOValley-2022"": 18.0052, ""Scottsbluff-2022"": 21.0274}",,0.0000,0.0000,0.0000,0.0000,catboost,,,,,,,,,,,,,,,,
practice_5sites,False,random,tp1,1,+ TP1,True,catboost,17.2828,22.7109,0.8274,0.1660,0.1418,2131,0.5846,0.8472,17.2831,0.5250,5,,,,,6.0700,"{""Ames-2022"": 19.8396, ""Crawfordsville-2022"": 15.2587, ""Lincoln-2022"": 13.2501, ""MOValley-2022"": 16.1052, ""Scottsbluff-2022"": 21.3052}",,1.0000,4.0692,19.0576,4.0692,catboost,,,3.4401,4.6737,4.0000,5.0000,1.0000,2022-07-04,2022-07-13,2022-07-18,46.0000,57.0000,75.0000,94.0000,89.0000,assumed 10-15 each season
practice_5sites,False,random,tp2,2,+ TP1-TP2,True,catboost,16.0320,21.1309,0.8506,0.2306,0.1315,2131,0.6372,0.8624,16.0323,0.5704,5,,,,,7.1100,"{""Ames-2022"": 16.8002, ""Crawfordsville-2022"": 15.288, ""Lincoln-2022"": 11.2829, ""MOValley-2022"": 15.64, ""Scottsbluff-2022"": 21.0347}",,2.0000,5.3200,24.9156,5.3200,catboost,,,4.6590,5.9624,4.0000,5.0000,1.0000,2022-07-17,2022-07-21,2022-08-06,59.0000,70.0000,83.0000,86.0000,70.0000,assumed 10-15 each season
practice_5sites,False,random,tp3,3,+ TP1-TP3,True,catboost,15.3747,20.3253,0.8618,0.1508,0.1261,2131,0.6947,0.8788,15.3749,0.4557,5,,,,,7.4400,"{""Ames-2022"": 15.1784, ""Crawfordsville-2022"": 14.993, ""Lincoln-2022"": 11.7081, ""MOValley-2022"": 12.8055, ""Scottsbluff-2022"": 20.5864}",,3.0000,5.9773,27.9940,5.9773,catboost,,,5.2805,6.6580,5.0000,5.0000,1.0000,2022-08-02,2022-08-08,2022-09-03,79.0000,83.0000,104.0000,68.0000,42.0000,assumed 10-15 each season
practice_5sites,False,random,tp4,4,+ TP1-TP4,True,catboost,15.3074,20.1919,0.8636,0.1275,0.1256,2131,0.6829,0.8783,15.3075,0.6072,5,,,,,7.3800,"{""Ames-2022"": 14.8121, ""Crawfordsville-2022"": 14.7853, ""Lincoln-2022"": 11.5663, ""MOValley-2022"": 14.4892, ""Scottsbluff-2022"": 20.4503}",,4.0000,6.0445,28.3090,6.0445,catboost,,,5.3759,6.7200,5.0000,5.0000,1.0000,2022-08-18,2022-09-03,2022-09-13,91.0000,112.0000,127.0000,42.0000,32.0000,assumed 10-15 each season
practice_5sites,False,random,tp5,5,+ TP1-TP5,True,catboost,15.3915,20.3765,0.8611,0.2973,0.1263,2131,0.6777,0.8765,15.3917,0.4827,5,,,,,7.3800,"{""Ames-2022"": 14.9349, ""Crawfordsville-2022"": 14.6267, ""Lincoln-2022"": 11.8382, ""MOValley-2022"": 14.4594, ""Scottsbluff-2022"": 20.5826}",,5.0000,5.9604,27.9150,5.9604,catboost,,,5.3022,6.6589,5.0000,5.0000,1.0000,2022-09-09,2022-09-11,2022-10-01,111.0000,120.0000,143.0000,34.0000,14.0000,assumed 10-15 each season
practice_5sites,False,random,tp6,6,+ TP1-TP6,True,catboost,15.6589,20.4852,0.8596,0.0776,0.1285,2131,0.6821,0.8756,15.6588,0.5472,5,,,,,6.9100,"{""Ames-2022"": 15.5436, ""Crawfordsville-2022"": 14.592, ""Lincoln-2022"": 12.1719, ""MOValley-2022"": 14.648, ""Scottsbluff-2022"": 20.7693}",,6.0000,5.6930,26.6628,5.6930,catboost,,,5.0488,6.3924,5.0000,5.0000,1.0000,2022-09-19,2022-09-24,2022-10-09,124.0000,128.0000,151.0000,21.0000,6.0000,assumed 10-15 each season
