dataset,synthetic,validation,stage,stage_order,stage_label,uses_imagery,model,mae,rmse,r2,bias,relative_mae,n,spearman_within,spearman_pooled,fold_mae_mean,fold_mae_sd,n_folds,coverage,interval_width,coverage_min_group,interval_calibration,seconds,group_mae,delta_mae_vs_mean,timing_passes_mean,delta_mae_vs_records,pct_mae_reduction_vs_records,delta_mae_vs_best_records,best_records_model,cqr_coverage,cqr_width,delta_mae_ci_low,delta_mae_ci_high,group_wins,n_groups,timing_share_with_imagery,timing_acq_date_min,timing_acq_date_median,timing_acq_date_max,timing_dap_min,timing_dap_median,timing_dap_max,timing_lead_days_median,timing_lead_days_min,timing_harvest_basis
practice_3sites,False,site,tp2,2,+ TP1-TP2,True,hist_gradient_boosting,51.5800,57.8253,0.0424,-8.9823,0.4628,1479,0.2912,0.3061,51.4706,9.9050,3,0.6342,163.2979,0.1250,site,5.4700,"{""Ames-2022"": 37.7364, ""Crawfordsville-2022"": 55.9514, ""Lincoln-2022"": 60.7239}",22.8807,2.0000,45.0353,46.6130,43.8822,catboost,,,43.9979,46.0616,3.0000,3.0000,1.0000,2022-07-20,2022-07-23,2022-08-06,61.0000,70.0000,76.0000,84.0000,70.0000,assumed 10-15 each season
practice_3sites,False,site,tp2,2,+ TP1-TP2,True,catboost,52.3459,60.3279,-0.0423,5.9883,0.4697,1479,0.2547,0.0783,52.0307,20.4826,3,0.7066,187.8617,0.1448,site,11.9800,"{""Ames-2022"": 31.1763, ""Crawfordsville-2022"": 45.0474, ""Lincoln-2022"": 79.8683}",22.1147,2.0000,43.1162,45.1658,43.1162,catboost,0.7316,183.0234,41.8524,44.3647,3.0000,3.0000,1.0000,2022-07-20,2022-07-23,2022-08-06,61.0000,70.0000,76.0000,84.0000,70.0000,assumed 10-15 each season
practice_3sites,False,site,tp3,3,+ TP1-TP3,True,ridge,287.6236,342.0440,-32.5053,-272.8376,2.5809,1479,0.1258,0.5521,286.1050,182.9243,3,0.4341,331.6797,0.0000,site,0.2100,"{""Ames-2022"": 27.478, ""Crawfordsville-2022"": 420.5188, ""Lincoln-2022"": 410.3182}",-213.1630,3.0000,135.4858,32.0215,-192.1615,catboost,,,132.9956,137.8616,2.0000,3.0000,1.0000,2022-08-02,2022-08-10,2022-09-03,79.0000,83.0000,104.0000,66.0000,42.0000,assumed 10-15 each season
practice_3sites,False,site,tp3,3,+ TP1-TP3,True,random_forest,46.1519,53.0400,0.1943,-6.3754,0.4141,1479,0.1127,0.4272,46.0386,8.3997,3,0.8154,220.5990,0.4583,site,4.7300,"{""Ames-2022"": 45.7077, ""Crawfordsville-2022"": 35.9207, ""Lincoln-2022"": 56.4876}",28.3087,3.0000,51.0712,52.5299,49.3102,catboost,,,49.8895,52.2079,3.0000,3.0000,1.0000,2022-08-02,2022-08-10,2022-09-03,79.0000,83.0000,104.0000,66.0000,42.0000,assumed 10-15 each season
practice_3sites,False,site,tp3,3,+ TP1-TP3,True,hist_gradient_boosting,40.3906,48.2959,0.3320,-0.7214,0.3624,1479,0.2195,0.5798,40.2380,11.5477,3,0.7532,177.2760,0.2758,site,5.5600,"{""Ames-2022"": 40.294, ""Crawfordsville-2022"": 26.0671, ""Lincoln-2022"": 54.3529}",34.0700,3.0000,56.2247,58.1944,55.0715,catboost,,,55.1039,57.3850,3.0000,3.0000,1.0000,2022-08-02,2022-08-10,2022-09-03,79.0000,83.0000,104.0000,66.0000,42.0000,assumed 10-15 each season
practice_3sites,False,site,tp3,3,+ TP1-TP3,True,catboost,48.2456,56.5759,0.0833,1.7045,0.4329,1479,0.1816,0.3559,47.9926,16.0424,3,0.7640,198.3474,0.3075,site,12.1600,"{""Ames-2022"": 36.8757, ""Crawfordsville-2022"": 36.4237, ""Lincoln-2022"": 70.6785}",26.2151,3.0000,47.2166,49.4610,47.2166,catboost,0.7972,186.0567,46.0348,48.3624,3.0000,3.0000,1.0000,2022-08-02,2022-08-10,2022-09-03,79.0000,83.0000,104.0000,66.0000,42.0000,assumed 10-15 each season
practice_3sites,False,site,tp4,4,+ TP1-TP4,True,ridge,318.2678,379.5922,-40.2651,-74.2306,2.8559,1479,0.0839,-0.7742,318.7528,205.7128,3,0.0000,316.6092,0.0000,site,0.2200,"{""Ames-2022"": 101.1563, ""Crawfordsville-2022"": 594.7798, ""Lincoln-2022"": 260.3222}",-243.8071,4.0000,104.8417,24.7789,-222.8056,catboost,,,102.9267,106.8759,1.0000,3.0000,1.0000,2022-08-31,2022-09-11,2022-09-13,100.0000,112.0000,125.0000,34.0000,32.0000,assumed 10-15 each season
practice_3sites,False,site,tp4,4,+ TP1-TP4,True,random_forest,75.9764,82.3331,-0.9413,-27.5208,0.6818,1479,0.0287,-0.6038,76.0414,7.6637,3,0.7830,224.8788,0.3988,site,4.6400,"{""Ames-2022"": 71.5483, ""Crawfordsville-2022"": 86.8295, ""Lincoln-2022"": 69.7464}",-1.5157,4.0000,21.2467,21.8536,19.4858,catboost,,,20.0176,22.4946,3.0000,3.0000,1.0000,2022-08-31,2022-09-11,2022-09-13,100.0000,112.0000,125.0000,34.0000,32.0000,assumed 10-15 each season
practice_3sites,False,site,tp4,4,+ TP1-TP4,True,hist_gradient_boosting,68.6049,75.9177,-0.6506,-14.5748,0.6156,1479,0.1143,-0.1984,68.5219,8.6614,3,0.6579,195.0015,0.2083,site,5.6400,"{""Ames-2022"": 72.6406, ""Crawfordsville-2022"": 56.4723, ""Lincoln-2022"": 76.4529}",5.8557,4.0000,28.0104,28.9917,26.8572,catboost,,,26.5880,29.4539,3.0000,3.0000,1.0000,2022-08-31,2022-09-11,2022-09-13,100.0000,112.0000,125.0000,34.0000,32.0000,assumed 10-15 each season
practice_3sites,False,site,tp4,4,+ TP1-TP4,True,catboost,63.3262,70.7214,-0.4324,-9.9096,0.5682,1479,0.2159,-0.5049,63.1682,19.7098,3,0.7965,218.3052,0.4087,site,12.8900,"{""Ames-2022"": 35.3212, ""Crawfordsville-2022"": 78.1502, ""Lincoln-2022"": 76.0333}",11.1344,4.0000,32.1359,33.6635,32.1359,catboost,0.8763,240.5506,30.9640,33.2958,3.0000,3.0000,1.0000,2022-08-31,2022-09-11,2022-09-13,100.0000,112.0000,125.0000,34.0000,32.0000,assumed 10-15 each season
