validation,stage,stage_order,stage_label,ranker,method,budget,recall,recall_unit_mean,precision,random_recall,oracle_recall,lift,skill,n_units,n_poor,n_selected,hits
site,records,0,Records only,forecast,forecast,0.1000,0.1622,0.1625,0.4054,0.1001,0.4000,1.6205,0.2070,3,370,148,60
site,records,0,Records only,forecast,forecast,0.2000,0.2838,0.2842,0.3547,0.2001,0.8000,1.4180,0.1394,3,370,296,105
site,records,0,Records only,forecast,forecast,0.2500,0.3432,0.3434,0.3432,0.2502,1.0000,1.3720,0.1241,3,370,370,127
site,records,0,Records only,lower_bound,lower_bound,0.1000,0.1568,0.1573,0.3919,0.1001,0.4000,1.5665,0.1890,3,370,148,58
site,records,0,Records only,lower_bound,lower_bound,0.2000,0.2703,0.2710,0.3378,0.2001,0.8000,1.3504,0.1169,3,370,296,100
site,records,0,Records only,lower_bound,lower_bound,0.2500,0.3189,0.3195,0.3189,0.2502,1.0000,1.2748,0.0917,3,370,370,118
site,records,0,Records only,relative_forecast,relative_forecast,0.1000,0.1676,0.1678,0.4189,0.1001,0.4000,1.6745,0.2251,3,370,148,62
site,records,0,Records only,relative_forecast,relative_forecast,0.2000,0.2432,0.2434,0.3041,0.2001,0.8000,1.2154,0.0719,3,370,296,90
site,records,0,Records only,relative_forecast,relative_forecast,0.2500,0.3081,0.3082,0.3081,0.2502,1.0000,1.2316,0.0773,3,370,370,114
site,records,0,Records only,records_only,relative_forecast,0.1000,0.1676,0.1678,0.4189,0.1001,0.4000,1.6745,0.2251,3,370,148,62
site,records,0,Records only,records_only,relative_forecast,0.2000,0.2432,0.2434,0.3041,0.2001,0.8000,1.2154,0.0719,3,370,296,90
site,records,0,Records only,records_only,relative_forecast,0.2500,0.3081,0.3082,0.3081,0.2502,1.0000,1.2316,0.0773,3,370,370,114
site,tp1,1,+ TP1,forecast,forecast,0.1000,0.2135,0.2137,0.5338,0.1001,0.4000,2.1337,0.3782,3,370,148,79
site,tp1,1,+ TP1,forecast,forecast,0.2000,0.3432,0.3428,0.4291,0.2001,0.8000,1.7151,0.2386,3,370,296,127
site,tp1,1,+ TP1,forecast,forecast,0.2500,0.4135,0.4131,0.4135,0.2502,1.0000,1.6529,0.2178,3,370,370,153
site,tp1,1,+ TP1,lower_bound,lower_bound,0.1000,0.1432,0.1433,0.3581,0.1001,0.4000,1.4315,0.1440,3,370,148,53
site,tp1,1,+ TP1,lower_bound,lower_bound,0.2000,0.3027,0.3025,0.3784,0.2001,0.8000,1.5125,0.1710,3,370,296,112
site,tp1,1,+ TP1,lower_bound,lower_bound,0.2500,0.3486,0.3484,0.3486,0.2502,1.0000,1.3937,0.1313,3,370,370,129
site,tp1,1,+ TP1,relative_forecast,relative_forecast,0.1000,0.2378,0.2378,0.5946,0.1001,0.4000,2.3768,0.4593,3,370,148,88
site,tp1,1,+ TP1,relative_forecast,relative_forecast,0.2000,0.3892,0.3890,0.4865,0.2001,0.8000,1.9446,0.3152,3,370,296,144
site,tp1,1,+ TP1,relative_forecast,relative_forecast,0.2500,0.4324,0.4322,0.4324,0.2502,1.0000,1.7286,0.2431,3,370,370,160
site,tp1,1,+ TP1,records_only,relative_forecast,0.1000,0.1676,0.1678,0.4189,0.1001,0.4000,1.6745,0.2251,3,370,148,62
site,tp1,1,+ TP1,records_only,relative_forecast,0.2000,0.2432,0.2434,0.3041,0.2001,0.8000,1.2154,0.0719,3,370,296,90
site,tp1,1,+ TP1,records_only,relative_forecast,0.2500,0.3081,0.3082,0.3081,0.2502,1.0000,1.2316,0.0773,3,370,370,114
site,tp1,1,+ TP1,naive_imagery,naive_imagery,0.1000,0.2027,0.2019,0.5068,0.1001,0.4000,2.0257,0.3422,3,370,148,75
site,tp1,1,+ TP1,naive_imagery,naive_imagery,0.2000,0.3432,0.3416,0.4291,0.2001,0.8000,1.7151,0.2386,3,370,296,127
site,tp1,1,+ TP1,naive_imagery,naive_imagery,0.2500,0.4027,0.4010,0.4027,0.2502,1.0000,1.6097,0.2034,3,370,370,149
site,tp2,2,+ TP1-TP2,forecast,forecast,0.1000,0.1892,0.1891,0.4730,0.1001,0.4000,1.8906,0.2971,3,370,148,70
site,tp2,2,+ TP1-TP2,forecast,forecast,0.2000,0.3135,0.3130,0.3919,0.2001,0.8000,1.5665,0.1890,3,370,296,116
site,tp2,2,+ TP1-TP2,forecast,forecast,0.2500,0.3676,0.3670,0.3676,0.2502,1.0000,1.4693,0.1566,3,370,370,136
site,tp2,2,+ TP1-TP2,lower_bound,lower_bound,0.1000,0.1919,0.1923,0.4797,0.1001,0.4000,1.9176,0.3061,3,370,148,71
site,tp2,2,+ TP1-TP2,lower_bound,lower_bound,0.2000,0.3270,0.3272,0.4088,0.2001,0.8000,1.6340,0.2115,3,370,296,121
site,tp2,2,+ TP1-TP2,lower_bound,lower_bound,0.2500,0.3514,0.3513,0.3514,0.2502,1.0000,1.4045,0.1349,3,370,370,130
site,tp2,2,+ TP1-TP2,relative_forecast,relative_forecast,0.1000,0.2054,0.2051,0.5135,0.1001,0.4000,2.0527,0.3512,3,370,148,76
site,tp2,2,+ TP1-TP2,relative_forecast,relative_forecast,0.2000,0.3541,0.3536,0.4426,0.2001,0.8000,1.7691,0.2566,3,370,296,131
site,tp2,2,+ TP1-TP2,relative_forecast,relative_forecast,0.2500,0.4216,0.4208,0.4216,0.2502,1.0000,1.6853,0.2287,3,370,370,156
site,tp2,2,+ TP1-TP2,records_only,relative_forecast,0.1000,0.1676,0.1678,0.4189,0.1001,0.4000,1.6745,0.2251,3,370,148,62
site,tp2,2,+ TP1-TP2,records_only,relative_forecast,0.2000,0.2432,0.2434,0.3041,0.2001,0.8000,1.2154,0.0719,3,370,296,90
site,tp2,2,+ TP1-TP2,records_only,relative_forecast,0.2500,0.3081,0.3082,0.3081,0.2502,1.0000,1.2316,0.0773,3,370,370,114
site,tp2,2,+ TP1-TP2,naive_imagery,naive_imagery,0.1000,0.2189,0.2185,0.5473,0.1001,0.4000,2.1877,0.3963,3,370,148,81
site,tp2,2,+ TP1-TP2,naive_imagery,naive_imagery,0.2000,0.3622,0.3617,0.4527,0.2001,0.8000,1.8096,0.2701,3,370,296,134
site,tp2,2,+ TP1-TP2,naive_imagery,naive_imagery,0.2500,0.4351,0.4346,0.4351,0.2502,1.0000,1.7394,0.2467,3,370,370,161
site,tp3,3,+ TP1-TP3,forecast,forecast,0.1000,0.1811,0.1820,0.4527,0.1001,0.4000,1.8096,0.2701,3,370,148,67
site,tp3,3,+ TP1-TP3,forecast,forecast,0.2000,0.2757,0.2772,0.3446,0.2001,0.8000,1.3774,0.1259,3,370,296,102
site,tp3,3,+ TP1-TP3,forecast,forecast,0.2500,0.3486,0.3503,0.3486,0.2502,1.0000,1.3937,0.1313,3,370,370,129
site,tp3,3,+ TP1-TP3,lower_bound,lower_bound,0.1000,0.1838,0.1839,0.4595,0.1001,0.4000,1.8366,0.2791,3,370,148,68
site,tp3,3,+ TP1-TP3,lower_bound,lower_bound,0.2000,0.2595,0.2596,0.3243,0.2001,0.8000,1.2964,0.0989,3,370,296,96
site,tp3,3,+ TP1-TP3,lower_bound,lower_bound,0.2500,0.3270,0.3270,0.3270,0.2502,1.0000,1.3072,0.1025,3,370,370,121
site,tp3,3,+ TP1-TP3,relative_forecast,relative_forecast,0.1000,0.1297,0.1307,0.3243,0.1001,0.4000,1.2964,0.0989,3,370,148,48
site,tp3,3,+ TP1-TP3,relative_forecast,relative_forecast,0.2000,0.2459,0.2473,0.3074,0.2001,0.8000,1.2289,0.0764,3,370,296,91
site,tp3,3,+ TP1-TP3,relative_forecast,relative_forecast,0.2500,0.3027,0.3039,0.3027,0.2502,1.0000,1.2100,0.0701,3,370,370,112
site,tp3,3,+ TP1-TP3,records_only,relative_forecast,0.1000,0.1676,0.1678,0.4189,0.1001,0.4000,1.6745,0.2251,3,370,148,62
site,tp3,3,+ TP1-TP3,records_only,relative_forecast,0.2000,0.2432,0.2434,0.3041,0.2001,0.8000,1.2154,0.0719,3,370,296,90
site,tp3,3,+ TP1-TP3,records_only,relative_forecast,0.2500,0.3081,0.3082,0.3081,0.2502,1.0000,1.2316,0.0773,3,370,370,114
site,tp3,3,+ TP1-TP3,naive_imagery,naive_imagery,0.1000,0.1946,0.1966,0.4865,0.1001,0.4000,1.9446,0.3152,3,370,148,72
site,tp3,3,+ TP1-TP3,naive_imagery,naive_imagery,0.2000,0.3135,0.3162,0.3919,0.2001,0.8000,1.5665,0.1890,3,370,296,116
site,tp3,3,+ TP1-TP3,naive_imagery,naive_imagery,0.2500,0.3486,0.3516,0.3486,0.2502,1.0000,1.3937,0.1313,3,370,370,129
site,tp4,4,+ TP1-TP4,forecast,forecast,0.1000,0.1784,0.1791,0.4459,0.1001,0.4000,1.7826,0.2611,3,370,148,66
site,tp4,4,+ TP1-TP4,forecast,forecast,0.2000,0.3027,0.3037,0.3784,0.2001,0.8000,1.5125,0.1710,3,370,296,112
site,tp4,4,+ TP1-TP4,forecast,forecast,0.2500,0.3486,0.3499,0.3486,0.2502,1.0000,1.3937,0.1313,3,370,370,129
site,tp4,4,+ TP1-TP4,lower_bound,lower_bound,0.1000,0.1243,0.1239,0.3108,0.1001,0.4000,1.2424,0.0809,3,370,148,46
site,tp4,4,+ TP1-TP4,lower_bound,lower_bound,0.2000,0.1973,0.1967,0.2466,0.2001,0.8000,0.9858,-0.0047,3,370,296,73
site,tp4,4,+ TP1-TP4,lower_bound,lower_bound,0.2500,0.2486,0.2481,0.2486,0.2502,1.0000,0.9939,-0.0020,3,370,370,92
site,tp4,4,+ TP1-TP4,relative_forecast,relative_forecast,0.1000,0.2108,0.2113,0.5270,0.1001,0.4000,2.1067,0.3692,3,370,148,78
site,tp4,4,+ TP1-TP4,relative_forecast,relative_forecast,0.2000,0.3757,0.3765,0.4696,0.2001,0.8000,1.8771,0.2926,3,370,296,139
site,tp4,4,+ TP1-TP4,relative_forecast,relative_forecast,0.2500,0.4270,0.4281,0.4270,0.2502,1.0000,1.7070,0.2359,3,370,370,158
site,tp4,4,+ TP1-TP4,records_only,relative_forecast,0.1000,0.1676,0.1678,0.4189,0.1001,0.4000,1.6745,0.2251,3,370,148,62
site,tp4,4,+ TP1-TP4,records_only,relative_forecast,0.2000,0.2432,0.2434,0.3041,0.2001,0.8000,1.2154,0.0719,3,370,296,90
site,tp4,4,+ TP1-TP4,records_only,relative_forecast,0.2500,0.3081,0.3082,0.3081,0.2502,1.0000,1.2316,0.0773,3,370,370,114
site,tp4,4,+ TP1-TP4,naive_imagery,naive_imagery,0.1000,0.1378,0.1392,0.3446,0.1001,0.4000,1.3774,0.1259,3,370,148,51
site,tp4,4,+ TP1-TP4,naive_imagery,naive_imagery,0.2000,0.2514,0.2535,0.3142,0.2001,0.8000,1.2559,0.0854,3,370,296,93
site,tp4,4,+ TP1-TP4,naive_imagery,naive_imagery,0.2500,0.3081,0.3109,0.3081,0.2502,1.0000,1.2316,0.0773,3,370,370,114
site,tp5,5,+ TP1-TP5,forecast,forecast,0.1000,0.2270,0.2277,0.5676,0.1001,0.4000,2.2687,0.4233,3,370,148,84
site,tp5,5,+ TP1-TP5,forecast,forecast,0.2000,0.3541,0.3546,0.4426,0.2001,0.8000,1.7691,0.2566,3,370,296,131
site,tp5,5,+ TP1-TP5,forecast,forecast,0.2500,0.4189,0.4196,0.4189,0.2502,1.0000,1.6745,0.2251,3,370,370,155
site,tp5,5,+ TP1-TP5,lower_bound,lower_bound,0.1000,0.1676,0.1678,0.4189,0.1001,0.4000,1.6745,0.2251,3,370,148,62
site,tp5,5,+ TP1-TP5,lower_bound,lower_bound,0.2000,0.2703,0.2704,0.3378,0.2001,0.8000,1.3504,0.1169,3,370,296,100
site,tp5,5,+ TP1-TP5,lower_bound,lower_bound,0.2500,0.3297,0.3298,0.3297,0.2502,1.0000,1.3180,0.1061,3,370,370,122
site,tp5,5,+ TP1-TP5,relative_forecast,relative_forecast,0.1000,0.2324,0.2331,0.5811,0.1001,0.4000,2.3228,0.4413,3,370,148,86
site,tp5,5,+ TP1-TP5,relative_forecast,relative_forecast,0.2000,0.3730,0.3739,0.4662,0.2001,0.8000,1.8636,0.2881,3,370,296,138
site,tp5,5,+ TP1-TP5,relative_forecast,relative_forecast,0.2500,0.4432,0.4444,0.4432,0.2502,1.0000,1.7718,0.2575,3,370,370,164
site,tp5,5,+ TP1-TP5,records_only,relative_forecast,0.1000,0.1676,0.1678,0.4189,0.1001,0.4000,1.6745,0.2251,3,370,148,62
site,tp5,5,+ TP1-TP5,records_only,relative_forecast,0.2000,0.2432,0.2434,0.3041,0.2001,0.8000,1.2154,0.0719,3,370,296,90
site,tp5,5,+ TP1-TP5,records_only,relative_forecast,0.2500,0.3081,0.3082,0.3081,0.2502,1.0000,1.2316,0.0773,3,370,370,114
site,tp5,5,+ TP1-TP5,naive_imagery,naive_imagery,0.1000,0.1297,0.1307,0.3243,0.1001,0.4000,1.2964,0.0989,3,370,148,48
site,tp5,5,+ TP1-TP5,naive_imagery,naive_imagery,0.2000,0.2000,0.2017,0.2500,0.2001,0.8000,0.9993,-0.0002,3,370,296,74
site,tp5,5,+ TP1-TP5,naive_imagery,naive_imagery,0.2500,0.2324,0.2344,0.2324,0.2502,1.0000,0.9291,-0.0237,3,370,370,86
site,tp6,6,+ TP1-TP6,forecast,forecast,0.1000,0.1703,0.1703,0.4257,0.1001,0.4000,1.7016,0.2341,3,370,148,63
site,tp6,6,+ TP1-TP6,forecast,forecast,0.2000,0.3000,0.3004,0.3750,0.2001,0.8000,1.4990,0.1665,3,370,296,111
site,tp6,6,+ TP1-TP6,forecast,forecast,0.2500,0.3351,0.3357,0.3351,0.2502,1.0000,1.3396,0.1133,3,370,370,124
site,tp6,6,+ TP1-TP6,lower_bound,lower_bound,0.1000,0.1892,0.1897,0.4730,0.1001,0.4000,1.8906,0.2971,3,370,148,70
site,tp6,6,+ TP1-TP6,lower_bound,lower_bound,0.2000,0.3081,0.3084,0.3851,0.2001,0.8000,1.5395,0.1800,3,370,296,114
site,tp6,6,+ TP1-TP6,lower_bound,lower_bound,0.2500,0.3649,0.3653,0.3649,0.2502,1.0000,1.4585,0.1530,3,370,370,135
site,tp6,6,+ TP1-TP6,relative_forecast,relative_forecast,0.1000,0.1784,0.1793,0.4459,0.1001,0.4000,1.7826,0.2611,3,370,148,66
