stage,stage_label,site_year,morans_i,expected_i,p_value,k,n,neighbour_distance_m
records,Records only,Ames-2022,0.4224,-0.0021,0.0020,8,487,2.9966
records,Records only,Crawfordsville-2022,0.4654,-0.0021,0.0020,8,488,2.9963
records,Records only,Lincoln-2022,0.3010,-0.0020,0.0020,8,504,3.0070
tp1,+ TP1,Ames-2022,0.4314,-0.0021,0.0020,8,487,2.9966
tp1,+ TP1,Crawfordsville-2022,0.1819,-0.0021,0.0020,8,488,2.9963
tp1,+ TP1,Lincoln-2022,0.2089,-0.0020,0.0020,8,504,3.0070
tp2,+ TP1-TP2,Ames-2022,0.4964,-0.0021,0.0020,8,487,2.9966
tp2,+ TP1-TP2,Crawfordsville-2022,0.2454,-0.0021,0.0020,8,488,2.9963
tp2,+ TP1-TP2,Lincoln-2022,0.2272,-0.0020,0.0020,8,504,3.0070
tp3,+ TP1-TP3,Ames-2022,0.4144,-0.0021,0.0020,8,487,2.9966
tp3,+ TP1-TP3,Crawfordsville-2022,0.2116,-0.0021,0.0020,8,488,2.9963
tp3,+ TP1-TP3,Lincoln-2022,0.3524,-0.0020,0.0020,8,504,3.0070
tp4,+ TP1-TP4,Ames-2022,0.4400,-0.0021,0.0020,8,487,2.9966
tp4,+ TP1-TP4,Crawfordsville-2022,0.1796,-0.0021,0.0020,8,488,2.9963
tp4,+ TP1-TP4,Lincoln-2022,0.4108,-0.0020,0.0020,8,504,3.0070
tp5,+ TP1-TP5,Ames-2022,0.3660,-0.0021,0.0020,8,487,2.9966
tp5,+ TP1-TP5,Crawfordsville-2022,0.1425,-0.0021,0.0020,8,488,2.9963
tp5,+ TP1-TP5,Lincoln-2022,0.3248,-0.0020,0.0020,8,504,3.0070
tp6,+ TP1-TP6,Ames-2022,0.3247,-0.0021,0.0020,8,487,2.9966
tp6,+ TP1-TP6,Crawfordsville-2022,0.0775,-0.0021,0.0020,8,488,2.9963
tp6,+ TP1-TP6,Lincoln-2022,0.4005,-0.0020,0.0020,8,504,3.0070
